operationId,method,path,tag,kind,contract_status,ui_surface,gateway_mapping,http_contract_test,real_integration_test,browser_e2e,notes
getSdarNodeDeclaration,GET,/.well-known/sdar-node,Discovery,query,UNCHANGED,/overview;/contract,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getNodeControlLiveness,GET,/health/live,Discovery,query,UNCHANGED,/overview;/contract,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getNodeControlReadiness,GET,/health/ready,Discovery,query,UNCHANGED,/overview;/contract,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getNodeProfile,GET,/api/v1/node,Node,query,UNCHANGED,/node;/node/health,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
updateNodeProfileDraft,PUT,/api/v1/node/draft,Node,command,UNCHANGED,/node;/node/health,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
validateNodeProfileDraft,POST,/api/v1/node/draft/validate,Node,command,UNCHANGED,/node;/node/health,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
publishNodeProfileDraft,POST,/api/v1/node/draft/publish,Node,command,UNCHANGED,/node;/node/health,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getNodeHealth,GET,/api/v1/node/health,Node,query,UNCHANGED,/node;/node/health,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listConfigurationRevisions,GET,/api/v1/configuration-revisions,Configuration,query,UNCHANGED,/configuration,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
createConfigurationRevision,POST,/api/v1/configuration-revisions,Configuration,command,UNCHANGED,/configuration,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getConfigurationRevision,GET,/api/v1/configuration-revisions/{configurationId}/{revision},Configuration,query,UNCHANGED,/configuration,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
validateConfigurationRevision,POST,/api/v1/configuration-revisions/{configurationId}/{revision}/validate,Configuration,command,UNCHANGED,/configuration,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
publishConfigurationRevision,POST,/api/v1/configuration-revisions/{configurationId}/{revision}/publish,Configuration,command,UNCHANGED,/configuration,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
rollbackConfigurationRevision,POST,/api/v1/configuration-revisions/{configurationId}/{revision}/rollback,Configuration,command,UNCHANGED,/configuration,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listLlmProviders,GET,/api/v1/llm-providers,LLM,query,UNCHANGED,/llm/providers;/llm/routes,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
createLlmProviderDraft,POST,/api/v1/llm-providers,LLM,command,UNCHANGED,/llm/providers;/llm/routes,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getLlmProvider,GET,/api/v1/llm-providers/{providerId},LLM,query,UNCHANGED,/llm/providers;/llm/routes,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
validateLlmProvider,POST,/api/v1/llm-providers/{providerId}/validate,LLM,command,UNCHANGED,/llm/providers;/llm/routes,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listModelRoutes,GET,/api/v1/model-routes,LLM,query,UNCHANGED,/llm/providers;/llm/routes,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
createModelRouteDraft,POST,/api/v1/model-routes,LLM,command,UNCHANGED,/llm/providers;/llm/routes,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getModelRoute,GET,/api/v1/model-routes/{routeId},LLM,query,UNCHANGED,/llm/providers;/llm/routes,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listSmppSources,GET,/api/v1/smpp-sources,SMPP,query,UNCHANGED,/smpp/sources,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
createSmppSourceDraft,POST,/api/v1/smpp-sources,SMPP,command,UNCHANGED,/smpp/sources,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getSmppSource,GET,/api/v1/smpp-sources/{smppSourceId},SMPP,query,UNCHANGED,/smpp/sources,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
syncSmppSource,POST,/api/v1/smpp-sources/{smppSourceId}/sync,SMPP,command,UNCHANGED,/smpp/sources,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listMcpProviderCandidates,GET,/api/v1/mcp-provider-candidates,MCP,query,UNCHANGED,/mcp/candidates;/mcp/bindings,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listMcpProviderBindings,GET,/api/v1/mcp-provider-bindings,MCP,query,UNCHANGED,/mcp/candidates;/mcp/bindings,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
importMcpProviderBinding,POST,/api/v1/mcp-provider-bindings,MCP,command,UNCHANGED,/mcp/candidates;/mcp/bindings,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getMcpProviderBinding,GET,/api/v1/mcp-provider-bindings/{bindingId},MCP,query,UNCHANGED,/mcp/candidates;/mcp/bindings,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
refreshMcpProviderBinding,POST,/api/v1/mcp-provider-bindings/{bindingId}/refresh,MCP,command,UNCHANGED,/mcp/candidates;/mcp/bindings,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
suspendMcpProviderBinding,POST,/api/v1/mcp-provider-bindings/{bindingId}/suspend,MCP,command,UNCHANGED,/mcp/candidates;/mcp/bindings,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
removeMcpProviderBinding,POST,/api/v1/mcp-provider-bindings/{bindingId}/remove,MCP,command,UNCHANGED,/mcp/candidates;/mcp/bindings,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listSkills,GET,/api/v1/skills,Skills,query,UNCHANGED,/skills,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
importSkillPackage,POST,/api/v1/skills/import,Skills,command,UNCHANGED,/skills,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listSkillVersions,GET,/api/v1/skills/{skillId}/versions,Skills,query,UNCHANGED,/skills,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getSkillVersion,GET,/api/v1/skills/{skillId}/versions/{version},Skills,query,UNCHANGED,/skills,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
publishSkillVersion,POST,/api/v1/skills/{skillId}/versions/{version}/publish,Skills,command,UNCHANGED,/skills,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
suspendSkillVersion,POST,/api/v1/skills/{skillId}/versions/{version}/suspend,Skills,command,UNCHANGED,/skills,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
deprecateSkillVersion,POST,/api/v1/skills/{skillId}/versions/{version}/deprecate,Skills,command,UNCHANGED,/skills,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listPlanTemplates,GET,/api/v1/plan-templates,PlanTemplates,query,UNCHANGED,/plans,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listPlanTemplateVersions,GET,/api/v1/plan-templates/{artifactId}/versions,PlanTemplates,query,UNCHANGED,/plans,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getPlanTemplateVersion,GET,/api/v1/plan-templates/{artifactId}/versions/{version},PlanTemplates,query,UNCHANGED,/plans,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
publishPlanTemplateVersion,POST,/api/v1/plan-templates/{artifactId}/versions/{version}/publish,PlanTemplates,command,UNCHANGED,/plans,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
revalidatePlanTemplateVersion,POST,/api/v1/plan-templates/{artifactId}/versions/{version}/revalidate,PlanTemplates,command,UNCHANGED,/plans,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
suspendPlanTemplateVersion,POST,/api/v1/plan-templates/{artifactId}/versions/{version}/suspend,PlanTemplates,command,UNCHANGED,/plans,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listNodeCapabilities,GET,/api/v1/node-capabilities,Capabilities,query,UNCHANGED,/capabilities;/readiness,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
createNodeCapabilityDraft,POST,/api/v1/node-capabilities,Capabilities,command,UNCHANGED,/capabilities;/readiness,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getNodeCapabilityVersion,GET,/api/v1/node-capabilities/{capabilityId}/versions/{version},Capabilities,query,UNCHANGED,/capabilities;/readiness,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
validateNodeCapabilityVersion,POST,/api/v1/node-capabilities/{capabilityId}/versions/{version}/validate,Capabilities,command,UNCHANGED,/capabilities;/readiness,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
publishNodeCapabilityVersion,POST,/api/v1/node-capabilities/{capabilityId}/versions/{version}/publish,Capabilities,command,UNCHANGED,/capabilities;/readiness,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
suspendNodeCapabilityVersion,POST,/api/v1/node-capabilities/{capabilityId}/versions/{version}/suspend,Capabilities,command,UNCHANGED,/capabilities;/readiness,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
deprecateNodeCapabilityVersion,POST,/api/v1/node-capabilities/{capabilityId}/versions/{version}/deprecate,Capabilities,command,UNCHANGED,/capabilities;/readiness,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
retireNodeCapabilityVersion,POST,/api/v1/node-capabilities/{capabilityId}/versions/{version}/retire,Capabilities,command,UNCHANGED,/capabilities;/readiness,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listCapabilityImplementations,GET,/api/v1/node-capabilities/{capabilityId}/versions/{version}/implementations,Capabilities,query,UNCHANGED,/capabilities;/readiness,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
createCapabilityImplementation,POST,/api/v1/node-capabilities/{capabilityId}/versions/{version}/implementations,Capabilities,command,UNCHANGED,/capabilities;/readiness,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listCapabilityReadiness,GET,/api/v1/capability-readiness,Capabilities,query,UNCHANGED,/capabilities;/readiness,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getCapabilityReadiness,GET,/api/v1/capability-readiness/{capabilityId}/{version},Capabilities,query,UNCHANGED,/capabilities;/readiness,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
evaluateCapabilityReadiness,POST,/api/v1/capability-readiness/{capabilityId}/{version}/evaluate,Capabilities,command,UNCHANGED,/capabilities;/readiness,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listA2aExposures,GET,/api/v1/a2a-exposures,A2A,query,UNCHANGED,/a2a/exposures;/a2a/agent-card,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
createA2aExposureDraft,POST,/api/v1/a2a-exposures,A2A,command,UNCHANGED,/a2a/exposures;/a2a/agent-card,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getA2aExposureVersion,GET,/api/v1/a2a-exposures/{exposureId}/versions/{version},A2A,query,UNCHANGED,/a2a/exposures;/a2a/agent-card,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
publishA2aExposureVersion,POST,/api/v1/a2a-exposures/{exposureId}/versions/{version}/publish,A2A,command,UNCHANGED,/a2a/exposures;/a2a/agent-card,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
suspendA2aExposureVersion,POST,/api/v1/a2a-exposures/{exposureId}/versions/{version}/suspend,A2A,command,UNCHANGED,/a2a/exposures;/a2a/agent-card,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
retireA2aExposureVersion,POST,/api/v1/a2a-exposures/{exposureId}/versions/{version}/retire,A2A,command,UNCHANGED,/a2a/exposures;/a2a/agent-card,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listAgentCardRevisions,GET,/api/v1/a2a-agent-card-revisions,A2A,query,UNCHANGED,/a2a/exposures;/a2a/agent-card,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getAgentCardRevision,GET,/api/v1/a2a-agent-card-revisions/{revision},A2A,query,UNCHANGED,/a2a/exposures;/a2a/agent-card,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
rebuildAgentCardRevision,POST,/api/v1/a2a-agent-card-revisions/rebuild,A2A,command,UNCHANGED,/a2a/exposures;/a2a/agent-card,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listOperationalTasks,GET,/api/v1/tasks,Tasks,query,UNCHANGED,/tasks,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getOperationalTask,GET,/api/v1/tasks/{taskId},Tasks,query,UNCHANGED,/tasks,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getTaskCapabilityBinding,GET,/api/v1/tasks/{taskId}/capability-binding,Tasks,query,UNCHANGED,/tasks,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
pauseTask,POST,/api/v1/tasks/{taskId}/pause,Tasks,command,UNCHANGED,/tasks,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
resumeTask,POST,/api/v1/tasks/{taskId}/resume,Tasks,command,UNCHANGED,/tasks,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
cancelTask,POST,/api/v1/tasks/{taskId}/cancel,Tasks,command,UNCHANGED,/tasks,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
submitTaskGoalPatch,POST,/api/v1/tasks/{taskId}/goal-patches,Tasks,command,UNCHANGED,/tasks,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getEvidenceExportConfiguration,GET,/api/v1/evidence-export,EvidenceExport,query,RENAMED,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,replaces getTelemetryExportConfiguration
createEvidenceExportRevision,POST,/api/v1/evidence-export/revisions,EvidenceExport,command,RENAMED,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,replaces createTelemetryExportRevision
validateEvidenceExportRevision,POST,/api/v1/evidence-export/revisions/{revision}/validate,EvidenceExport,command,RENAMED,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,replaces validateTelemetryExportRevision
publishEvidenceExportRevision,POST,/api/v1/evidence-export/revisions/{revision}/publish,EvidenceExport,command,RENAMED,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,replaces publishTelemetryExportRevision
getEvidenceExportStatus,GET,/api/v1/evidence-export/status,EvidenceExport,query,RENAMED,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,replaces getTelemetryExportStatus
testEvidenceExportConnection,POST,/api/v1/evidence-export/test,EvidenceExport,command,RENAMED,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,replaces testTelemetryExportConnection
listManagementOperations,GET,/api/v1/management-operations,Operations,query,UNCHANGED,/operations,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
getManagementOperation,GET,/api/v1/management-operations/{operationId},Operations,query,UNCHANGED,/operations,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
cancelManagementOperation,POST,/api/v1/management-operations/{operationId}/cancel,Operations,command,UNCHANGED,/operations,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listAuditEvents,GET,/api/v1/audit-events,Audit,query,UNCHANGED,/audit,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
subscribeNodeEvents,GET,/api/v1/events,Events,query,UNCHANGED,/events,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,
listEvidenceOutbox,GET,/api/v1/evidence-export/outbox,EvidenceExport,query,NEW,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,new canonical Evidence operation
listEvidenceSourceCheckpoints,GET,/api/v1/evidence-export/source-checkpoints,EvidenceExport,query,NEW,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,new canonical Evidence operation
listEvidenceProjectionIssues,GET,/api/v1/evidence-export/projection-issues,EvidenceExport,query,NEW,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,new canonical Evidence operation
listEvidenceQualityIssues,GET,/api/v1/evidence-export/quality-issues,EvidenceExport,query,NEW,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,new canonical Evidence operation
getEpisodeEvidenceManifest,GET,/api/v1/evidence-export/episode-manifests/{episodeId},EvidenceExport,query,NEW,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,new canonical Evidence operation
listEvidenceDeadLetters,GET,/api/v1/evidence-export/dead-letters,EvidenceExport,query,NEW,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,new canonical Evidence operation
replayEvidence,POST,/api/v1/evidence-export/replays,EvidenceExport,command,NEW,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,new canonical Evidence operation
retryEvidenceDeadLetter,POST,/api/v1/evidence-export/dead-letters/{deadLetterId}/retry,EvidenceExport,command,NEW,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,new canonical Evidence operation
reconcileEvidenceCoverage,POST,/api/v1/evidence-export/reconcile,EvidenceExport,command,NEW,/evidence-export,PENDING_LIVE_GATEWAY_P02,PENDING_P02,PENDING_P03_P08,PENDING_P10,new canonical Evidence operation
